url_produk,nama_produk,harga_produk,jumlah_terjual,rating,nama_toko,marketplace
https://www.tokopedia.com/rindu-bogor/kopi-cap-oplet-khas-bogor-tanpa-gula-30-sachet-7gr-bag-cup-coffee-botol-robusta-susu-syrup-1730844719408515011?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,"Kopi Cap Oplet Khas Bogor Tanpa Gula - 30 Sachet @ 7gr - Bag, Cup, Coffee, Botol, Robusta, Susu Syrup",39500,40,5,RINDU BOGOR,tokopedia
https://www.tokopedia.com/nanabitesbogor/my-kripis-keripik-pisang-coklat-150gr-camilan-manis-renyah-khas-bogor-1732129883526497284?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,My Kripis Keripik Pisang Coklat 150gr – Camilan Manis Renyah Khas Bogor,29900,0,0,NanaBitesBogor,tokopedia
https://www.tokopedia.com/3pandawakuliner/rangginang-oleh-oleh-khas-bogor-siap-goreng-1731818538591814931?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rangginang oleh-oleh khas Bogor Siap Goreng,23900,6,5,3PANDAWA KULINER,tokopedia
https://www.tokopedia.com/chotaofid/keripik-talas-coklat-500-gram-camilan-manis-kriuk-lezat-khas-bogor-by-chotaof-id-1733539184047392380?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,KERIPIK TALAS COKLAT 500 gram | Camilan manis kriuk lezat khas Bogor | By ChoTaOf.id,56960,0,0,ChoTaOf.id,tokopedia
https://www.tokopedia.com/snack-fj33/snack-fj33-keripik-basreng-daun-jeruk-cikruh-khas-bogor-camilan-khas-bogor-1734049357704431033?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,SNACK FJ33 Keripik Basreng Daun Jeruk Cikruh Khas Bogor Camilan Khas Bogor,19500,10,5,Snack Fj33,tokopedia
https://www.tokopedia.com/betterlandstore/baru-makanan-kripik-talas-renyah-cocok-untuk-oleh-oleh-khas-bogor?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,[BARU] Makanan Kripik Talas Renyah Cocok Untuk Oleh Oleh Khas Bogor,44400,2,0,Better Land,tokopedia
https://www.tokopedia.com/denara-food/denara-food-keripik-talas-bogor-oleh-oleh-khas-bogor-1731631589715183120?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Denara food-Keripik Talas Bogor (oleh oleh khas Bogor),18000,1,0,Denara Food,tokopedia
https://www.tokopedia.com/el-blunder/kopi-hitam-cap-liong-bulan-khas-bogor-1pack-20pcs-1731560504559568713?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Hitam Cap Liong Bulan Khas Bogor 1pack (20pcs),22400,24,4.8,EL Blunder,tokopedia
https://www.tokopedia.com/kue-khas-bogor/riva-sarmut-riva-cake-talas-bogor-500-gr-kue-tradisional-lezat-dengan-rasa-khas-bogor-1732933723168998879?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Riva Sarmut Riva Cake Talas Bogor 500 gr - Kue Tradisional Lezat dengan Rasa Khas Bogor,75000,0,0,kue khas Bogor,tokopedia
https://www.tokopedia.com/melsofficialshop/rengginang-mentah-ketan-asli-makanan-khas-bogor-cemilan-tradisional-1730817380026714099?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rengginang Mentah Ketan Asli Makanan Khas Bogor Cemilan Tradisional,29900,100,3.2,Melstore.bgr,tokopedia
https://www.tokopedia.com/inspo11/tape-singkong-mentega-manis-lezat-500gram-makanan-khas-bogor-1731299947369170289?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Tape singkong mentega manis lezat (500gram)  Makanan khas bogor,12880,9,4,Inspo11,tokopedia
https://www.tokopedia.com/sayur-segar91/1-kg-kerupuk-asoy-khas-bogor-dijamin-renyah-1731565254380127350?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,1 kg Kerupuk Asoy Khas Bogor Dijamin Renyah,16660,0,0,Sayur segar91,tokopedia
https://www.tokopedia.com/rindu-bogor/kopi-cap-teko-spesial-kemasan-plastik-1-pack-isi-30-sachet-8gram-kopi-murni-tanpa-gula-giling-halus-kopi-khas-bogor-bubuk-coffee-robusta-1730910500096280515?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Cap Teko Spesial Kemasan Plastik 1 Pack isi 30 Sachet @8gram kopi murni tanpa gula giling halus Kopi Khas bogor Bubuk Coffee Robusta,31000,29,5,RINDU BOGOR,tokopedia
https://www.tokopedia.com/adellejaya17/tape-manis-legit-khas-bogor-snack-manis-1733407939880847053?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Tape Manis Legit Khas Bogor - Snack Manis,10990,4,0,Adellejaya17,tokopedia
https://www.tokopedia.com/indoembun/kopi-liong-liong-bulan-khas-bogor-kopi-liong-tanpa-gula?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kopi liong/liong bulan khas bogor/kopi liong tanpa gula,2000,100,5,Indo Embun,tokopedia
https://www.tokopedia.com/art--flower/oleh-oleh-khas-bogor-kripik-bayam-crispi-cripik-bayam-crispy-homemade-camilan-keripik-1730845805632324885?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Oleh oleh khas bogor kripik bayam crispi - cripik bayam crispy homemade Camilan Keripik,30000,5,5,ARt . flower,tokopedia
https://www.tokopedia.com/baladaofficial/stik-ubi-ungu-oleh-oleh-khas-bogor-stik-ubi-pertama-1731125019045823532?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,"STIK UBI UNGU, oleh oleh khas bogor. Stik ubi PERTAMA",35000,0,0,Baladaofficial,tokopedia
https://www.tokopedia.com/blue---store/paket-hemat-kopi-plus-gula-liong-kopi-khas-bogor-isi-2-pack-40-pcs-coffee-robusta-1733842335835850476?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,PAKET HEMAT KOPI PLUS GULA LIONG KOPI KHAS BOGOR ISI 2 PACK (40 PCS) Coffee Robusta,49500,24,5,BLUE - STORE,tokopedia
